isActive|symbol|idGOOGLE|companyName|priceBuy|isBuy|Divident%/year|
0|SLV|709305|iShares Silver Trust (ETF)|18.73|1|0|
0|SMFG|685043|Sumitomo Mitsui Financial Grp, Inc.(ADR)|8.02|1|0|
0|SPY|700145|SPDR S&amp;P 500 ETF Trust|189.72|1|0|
0|SMFG|685043|Sumitomo Mitsui Financial Grp, Inc.(ADR)|7.96|1|0|
0|SODA|14899305|Sodastream International Ltd|42.71|1|0|
0|SOXL|6265390|Direxion Daily Semiconductor Bull 3X Shs|0|0|0|
0|SPWR|702189|SunPower Corporation|33.5|1|0|
0|SSO|728662|ProShares Ultra S&P500 (ETF)|0|0|0|
0|STJ|491872|St. Jude Medical, Inc.|0|0|0|
0|SUNE|658274|Sunedison Inc|0|0|0|
0|TG|34167|Tredegar Corporation|24.07|1|0|
0|TGT|9524|Target Corporation|56.34|1|0|
1|TSLA|12607212|Tesla Motors Inc|0|0|0|
0|TZA|8941944|Direxion Daily Small Cp Bear 3X Shs(ETF)|0|0|0|
1|USO|705740|United States Oil Fund LP (ETF)|35.37|1|0|
0|UNG|710363|United States Natural Gas Fund, LP|0|0|0|
0|UNXL|8581096|UniPixel Inc|0|0|0|
0|USAK|655573|USA Truck, Inc.|0|0|0|
0|VNDA|703826|Vanda Pharmaceuticals Inc.|13.958|1|0|
0|VIPS|182420081784866|Vipshop Holdings Ltd|82.06|1|0|
0|VMW|718288|VMware, Inc.|0|0|0|
0|VZ|664887|Verizon Communications Inc.|0|0|0|
0|WFC|25913|Wells Fargo & Company|0|0|0|
0|WIN|697443|Windstream Corporation|0|0|0|
0|WMT|38230|Wal-Mart Stores, Inc.|0|0|0|
0|YHOO|658890|Yahoo! Inc.|0|0|0|
1|X|38983|United States Steel Corporation|25.8|1|0|
0|XCO|704925|EXCO Resources Inc|5.1|1|0|
0|XL|663887|XL Capital Ltd.|0|0|0|
0|XLF|700196|Financial Select Sector SPDR (ETF)|0|0|0|
0|XOM|663876|Exxon Mobil Corporation|0|0|0|
0|XRM|696609|Xerium Technologies, Inc.|0|0|0|
0|XRX|39232|Xerox Corporation|0|0|0|
0|ZHNE|665360|Zhone Technologies Inc|0|0|0|
